FTT_1088c contig2_BASYS00018
FTT_0832 contig1_BASYS00889
FTT_1775c contig7_BASYS00005
FTT_1443c contig5_BASYS00117
FTT_1446 contig5_BASYS00114
FTT_1693c contig3_BASYS00198
FTT_0164c contig3_BASYS00191
FTT_0165c contig3_BASYS00192
FTT_0166c contig3_BASYS00193
FTT_0167 contig3_BASYS00194
FTT_0168 contig3_BASYS00195
FTT_0169 contig3_BASYS00196
FTT_1418c contig5_BASYS00156
FTT_1417 contig5_BASYS00157
FTT_1420 contig5_BASYS00154
FTT_1422 contig5_BASYS00152
FTT_1421 contig5_BASYS00153
FTT_1424c contig5_BASYS00150
FTT_1423c contig5_BASYS00151
FTT_1416c contig5_BASYS00158
FTT_1413 contig5_BASYS00159
FTT_0146 contig3_BASYS00172
FTT_0147 contig3_BASYS00173
FTT_0144 contig3_BASYS00170
FTT_0145 contig3_BASYS00171
FTT_0150 contig3_BASYS00177
FTT_0148 contig3_BASYS00174
FTT_0149c contig3_BASYS00175
FTT_0151 contig3_BASYS00178
FTT_0152 contig3_BASYS00179
FTT_0444 contig4_BASYS00106
FTT_0620 contig1_BASYS00239
FTT_0619 contig1_BASYS00237
FTT_0618c contig1_BASYS00236
FTT_0617c contig1_BASYS00235
FTT_0616c contig1_BASYS00234
FTT_0615c contig1_BASYS00233
FTT_0614c contig1_BASYS00232
FTT_1215c contig1_BASYS00092
FTT_1217c contig1_BASYS00091
FTT_1218c contig1_BASYS00090
FTT_1211c contig1_BASYS00097
FTT_1212c contig1_BASYS00096
FTT_1214c contig1_BASYS00094
FTT_0780c contig1_BASYS00099
FTT_1668 contig1_BASYS00523
FTT_1663 contig1_BASYS00527
FTT_1664 contig1_BASYS00526
FTT_1665 contig1_BASYS00525
FTT_0213 contig1_BASYS00700
FTT_0277c contig1_BASYS00707
FTT_0215 contig1_BASYS00704
FTT_0970 contig1_BASYS00417
FTT_0969c contig1_BASYS00416
FTT_0968c contig1_BASYS00414
FTT_0966 contig1_BASYS00413
FTT_0965c contig1_BASYS00412
FTT_0964c contig1_BASYS00411
FTT_0807 contig1_BASYS00146
FTT_0810c contig1_BASYS00149
FTT_0809c contig1_BASYS00148
FTT_0972 contig1_BASYS00419
FTT_0971 contig1_BASYS00418
FTT_1467c contig2_BASYS00075
FTT_1468c contig2_BASYS00077
FTT_0733 contig2_BASYS00071
FTT_0732 contig2_BASYS00072
FTT_1116c contig2_BASYS00287
FTT_1115c contig2_BASYS00286
FTT_1114c contig2_BASYS00285
FTT_1113c contig2_BASYS00284
FTT_1112c contig2_BASYS00283
FTT_0588 contig2_BASYS00282
FTT_0589 contig2_BASYS00281
FTT_0590 contig2_BASYS00280
FTT_1117c contig2_BASYS00289
FTT_1344 contig6_BASYS00003
FTT_0841 contig1_BASYS00899
FTT_0840 contig1_BASYS00898
FTT_0835 contig1_BASYS00892
FTT_0834 contig1_BASYS00891
FTT_0833 contig1_BASYS00890
FTT_0839 contig1_BASYS00897
FTT_0838 contig1_BASYS00896
FTT_0837 contig1_BASYS00895
FTT_0836c contig1_BASYS00894
FTT_0954c contig1_BASYS00400
FTT_0955c contig1_BASYS00401
FTT_0956c contig1_BASYS00402
FTT_0957c contig1_BASYS00403
FTT_0959c contig1_BASYS00405
FTT_0960 contig1_BASYS00406
FTT_1390 contig6_BASYS00070
FTT_1391 contig6_BASYS00071
FTT_1540c contig5_BASYS00039
FTT_1392 contig6_BASYS00072
FTT_1483c contig5_BASYS00002
FTT_1393c contig6_BASYS00076
FTT_1394c contig6_BASYS00077
FTT_0163c contig3_BASYS00189
FTT_0162 contig3_BASYS00188
FTT_0160 contig3_BASYS00186
FTT_0159c contig3_BASYS00185
FTT_0156 contig3_BASYS00183
FTT_0155 contig3_BASYS00182
FTT_0154 contig3_BASYS00181
FTT_0153 contig3_BASYS00180
FTT_1425c contig5_BASYS00145
FTT_1426c contig5_BASYS00141
FTT_0137 contig3_BASYS00163
FTT_0136 contig3_BASYS00162
FTT_0139 contig3_BASYS00165
FTT_0138 contig3_BASYS00164
FTT_0141 contig3_BASYS00167
FTT_0140 contig3_BASYS00166
FTT_0143 contig3_BASYS00169
FTT_0142 contig3_BASYS00168
FTT_0436c contig4_BASYS00114
FTT_0428 contig4_BASYS00116
FTT_0439 contig4_BASYS00110
FTT_0437c contig4_BASYS00113
FTT_0438 contig4_BASYS00112
FTT_1452c contig5_BASYS00100
FTT_0951c contig1_BASYS00392
FTT_0953c contig1_BASYS00396
FTT_0250 contig1_BASYS00557
FTT_0251 contig1_BASYS00555
FTT_0083 contig1_BASYS00551
FTT_0249 contig1_BASYS00558
FTT_0248 contig1_BASYS00559
FTT_1345 contig6_BASYS00008
FTT_0324 contig1_BASYS00778
FTT_0325 contig1_BASYS00779
FTT_0322 contig1_BASYS00776
FTT_0323 contig1_BASYS00777
FTT_0320 contig1_BASYS00774
FTT_0321 contig1_BASYS00775
FTT_0318 contig1_BASYS00772
FTT_0319 contig1_BASYS00773
FTT_0316 contig1_BASYS00770
FTT_0317 contig1_BASYS00771
FTT_1199c contig1_BASYS00174
FTT_1198c contig1_BASYS00175
FTT_1197c contig1_BASYS00176
FTT_1202 contig1_BASYS00171
FTT_1201c contig1_BASYS00172
FTT_1200c contig1_BASYS00173
FTT_1190c contig1_BASYS00179
FTT_0738 contig2_BASYS00062
FTT_1738c contig2_BASYS00061
FTT_0736 contig2_BASYS00065
FTT_0737c contig2_BASYS00064
FTT_1179 contig1_BASYS00197
FTT_1680c contig1_BASYS00602
FTT_1679 contig1_BASYS00603
FTT_1683c contig1_BASYS00600
FTT_1681c contig1_BASYS00601
FTT_1676 contig1_BASYS00606
FTT_1675 contig1_BASYS00607
FTT_1678c contig1_BASYS00604
FTT_1677c contig1_BASYS00605
FTT_1674 contig1_BASYS00608
FTT_1673 contig1_BASYS00609
FTT_1181c contig1_BASYS00191
FTT_0591 contig2_BASYS00279
FTT_1168c contig2_BASYS00272
FTT_1169 contig2_BASYS00273
FTT_1166c contig2_BASYS00270
FTT_1167c contig2_BASYS00271
FTT_0592 contig2_BASYS00277
FTT_1170 contig2_BASYS00275
FTT_0886 contig1_BASYS00959
FTT_0881c contig1_BASYS00950
FTT_0885 contig1_BASYS00956
FTT_0884c contig1_BASYS00955
FTT_1339c contig2_BASYS00389
FTT_1338c contig2_BASYS00386
FTT_1337c contig2_BASYS00384
FTT_1336 contig2_BASYS00382
FTT_1335 contig2_BASYS00381
FTT_1402c contig5_BASYS00178
FTT_1409c contig5_BASYS00171
FTT_1408c contig5_BASYS00172
FTT_1407c contig5_BASYS00173
FTT_1406c contig5_BASYS00174
FTT_1405c contig5_BASYS00175
FTT_1404 contig5_BASYS00176
FTT_1403c contig5_BASYS00177
FTT_0129 contig3_BASYS00154
FTT_0130 contig3_BASYS00155
FTT_0132 contig3_BASYS00156
FTT_0128 contig3_BASYS00153
FTT_0134 contig3_BASYS00159
FTT_0066 contig3_BASYS00086
FTT_0067c contig3_BASYS00087
FTT_0064 contig3_BASYS00084
FTT_0065 contig3_BASYS00085
FTT_0062 contig3_BASYS00082
FTT_0063 contig3_BASYS00083
FTT_0060 contig3_BASYS00080
FTT_0061 contig3_BASYS00081
FTT_0068 contig3_BASYS00088
FTT_0070c contig3_BASYS00089
FTT_0425c contig4_BASYS00124
FTT_0422 contig4_BASYS00125
FTT_0420 contig4_BASYS00126
FTT_0419 contig4_BASYS00127
FTT_0418 contig4_BASYS00128
FTT_0948c contig1_BASYS00387
FTT_0946 contig1_BASYS00385
FTT_0945 contig1_BASYS00384
FTT_0944 contig1_BASYS00383
FTT_0943c contig1_BASYS00382
FTT_0942c contig1_BASYS00381
FTT_0941c contig1_BASYS00380
FTT_1644 contig1_BASYS00545
FTT_1645 contig1_BASYS00541
FTT_0315 contig1_BASYS00769
FTT_0314 contig1_BASYS00768
FTT_0311c contig1_BASYS00765
FTT_0308 contig1_BASYS00764
FTT_0313 contig1_BASYS00767
FTT_0312c contig1_BASYS00766
FTT_0305 contig1_BASYS00761
FTT_0304c contig1_BASYS00760
FTT_0307 contig1_BASYS00763
FTT_0306 contig1_BASYS00762
FTT_1203c contig1_BASYS00169
FTT_1208 contig1_BASYS00163
FTT_0821 contig1_BASYS00162
FTT_0820 contig1_BASYS00161
FTT_0819 contig1_BASYS00160
FTT_1204c contig1_BASYS00167
FTT_1205 contig1_BASYS00165
FTT_1207 contig1_BASYS00164
FTT_1284c contig2_BASYS00019
FTT_1087c contig2_BASYS00017
FTT_1085 contig2_BASYS00010
FTT_1086c contig2_BASYS00011
FTT_1671 contig1_BASYS00611
FTT_1672 contig1_BASYS00610
FTT_1744c contig1_BASYS00613
FTT_1747 contig1_BASYS00617
FTT_1746 contig1_BASYS00616
FTT_1749 contig1_BASYS00619
FTT_1748 contig1_BASYS00618
FTT_0759 contig2_BASYS00120
FTT_0757 contig2_BASYS00126
FTT_0756 contig2_BASYS00127
FTT_0755 contig2_BASYS00128
FTT_1163c contig2_BASYS00263
FTT_1164c contig2_BASYS00265
FTT_1165c contig2_BASYS00267
FTT_0879 contig1_BASYS00948
FTT_0873c contig1_BASYS00941
FTT_0874c contig1_BASYS00942
FTT_0876c contig1_BASYS00945
FTT_0875c contig1_BASYS00944
FTT_0878c contig1_BASYS00947
FTT_0877c contig1_BASYS00946
FTT_1485c contig8_BASYS00003
FTT_1486c contig8_BASYS00002
FTT_1487 contig8_BASYS00001
FTT_0726c contig2_BASYS00399
FTT_0728 contig2_BASYS00397
FTT_0729 contig2_BASYS00392
FTT_1410 contig5_BASYS00168
FTT_1412 contig5_BASYS00167
FTT_1239 contig5_BASYS00165
FTT_1260 contig1_BASYS00031
FTT_0121 contig3_BASYS00149
FTT_0120 contig3_BASYS00148
FTT_0117 contig3_BASYS00143
FTT_0116 contig3_BASYS00142
FTT_0119 contig3_BASYS00147
FTT_0118 contig3_BASYS00145
FTT_1259 contig1_BASYS00032
FTT_1258 contig1_BASYS00035
FTT_0077 contig3_BASYS00095
FTT_0076 contig3_BASYS00094
FTT_0079 contig3_BASYS00097
FTT_0078 contig3_BASYS00096
FTT_0073 contig3_BASYS00091
FTT_0075 contig3_BASYS00093
FTT_0074 contig3_BASYS00092
FTT_0081 contig3_BASYS00099
FTT_0080 contig3_BASYS00098
FTT_0417 contig4_BASYS00134
FTT_0416 contig4_BASYS00138
FTT_0663 contig1_BASYS00288
FTT_0659 contig1_BASYS00286
FTT_0658 contig1_BASYS00285
FTT_0655 contig1_BASYS00282
FTT_0656 contig1_BASYS00283
FTT_0653 contig1_BASYS00280
FTT_0654 contig1_BASYS00281
FTT_0938 contig1_BASYS00378
FTT_0940c contig1_BASYS00379
FTT_0932 contig1_BASYS00371
FTT_0936c contig1_BASYS00376
FTT_0937c contig1_BASYS00377
FTT_0934c contig1_BASYS00374
FTT_0935c contig1_BASYS00375
FTT_0239 contig1_BASYS00570
FTT_0240 contig1_BASYS00571
FTT_0242 contig1_BASYS00572
FTT_0243 contig1_BASYS00573
FTT_0244 contig1_BASYS00574
FTT_0245 contig1_BASYS00576
FTT_1690 contig1_BASYS00592
FTT_1689c contig1_BASYS00593
FTT_1687c contig1_BASYS00596
FTT_1686c contig1_BASYS00597
FTT_1688 contig1_BASYS00595
FTT_1684 contig1_BASYS00598
FTT_0791 contig1_BASYS00115
FTT_0790 contig1_BASYS00112
FTT_0788c contig1_BASYS00110
FTT_0789 contig1_BASYS00111
FTT_1083c contig2_BASYS00005
FTT_1084c contig2_BASYS00006
FTT_1754 contig1_BASYS00625
FTT_1750 contig1_BASYS00620
FTT_1751 contig1_BASYS00621
FTT_1752 contig1_BASYS00622
FTT_1753 contig1_BASYS00623
FTT_0007 contig1_BASYS00628
FTT_1271 contig1_BASYS00022
FTT_1270c contig1_BASYS00023
FTT_1273 contig1_BASYS00020
FTT_1272 contig1_BASYS00021
FTT_1266c contig1_BASYS00026
FTT_1269c contig1_BASYS00024
FTT_1268c contig1_BASYS00025
FTT_0303c contig1_BASYS00758
FTT_1024c contig2_BASYS00133
FTT_1023c contig2_BASYS00132
FTT_1026c contig2_BASYS00135
FTT_1025c contig2_BASYS00134
FTT_1028c contig2_BASYS00137
FTT_1027c contig2_BASYS00136
FTT_1030 contig2_BASYS00139
FTT_1029 contig2_BASYS00138
FTT_1159c contig2_BASYS00254
FTT_1160c contig2_BASYS00256
FTT_1161 contig2_BASYS00257
FTT_1156c contig2_BASYS00250
FTT_1158c contig2_BASYS00251
FTT_0901 contig1_BASYS00978
FTT_0903 contig1_BASYS00979
FTT_0899c contig1_BASYS00975
FTT_0900 contig1_BASYS00977
FTT_0896 contig1_BASYS00970
FTT_0897 contig1_BASYS00971
FTT_1772c contig7_BASYS00009
FTT_0457c contig4_BASYS00086
FTT_1515c contig3_BASYS00228
FTT_1514c contig3_BASYS00229
FTT_1518 contig3_BASYS00221
FTT_0114 contig3_BASYS00138
FTT_0113 contig3_BASYS00137
FTT_0111 contig3_BASYS00134
FTT_0112 contig3_BASYS00135
FTT_0109 contig3_BASYS00132
FTT_0110 contig3_BASYS00133
FTT_0107c contig3_BASYS00130
FTT_0108c contig3_BASYS00131
FTT_0022 contig3_BASYS00042
FTT_0020 contig3_BASYS00040
FTT_0021 contig3_BASYS00041
FTT_0031 contig3_BASYS00046
FTT_0032 contig3_BASYS00047
FTT_0030c contig3_BASYS00045
FTT_0033 contig3_BASYS00048
FTT_0034 contig3_BASYS00049
FTT_0670c contig1_BASYS00298
FTT_0668 contig1_BASYS00294
FTT_0669 contig1_BASYS00296
FTT_0665c contig1_BASYS00291
FTT_0667 contig1_BASYS00293
FTT_0666c contig1_BASYS00292
FTT_0931 contig1_BASYS00369
FTT_0927 contig1_BASYS00360
FTT_0928c contig1_BASYS00362
FTT_0238 contig1_BASYS00569
FTT_0236c contig1_BASYS00568
FTT_0235c contig1_BASYS00567
FTT_0233c contig1_BASYS00566
FTT_0232c contig1_BASYS00565
FTT_0231c contig1_BASYS00564
FTT_0230c contig1_BASYS00563
FTT_0229c contig1_BASYS00562
FTT_0228c contig1_BASYS00561
FTT_1095c contig2_BASYS00032
FTT_1096c contig2_BASYS00033
FTT_1097 contig2_BASYS00034
FTT_0223c contig1_BASYS00582
FTT_0220c contig1_BASYS00585
FTT_0222c contig1_BASYS00584
FTT_0219c contig1_BASYS00586
FTT_1371 contig6_BASYS00047
FTT_0787 contig1_BASYS00109
FTT_0786 contig1_BASYS00108
FTT_0784 contig1_BASYS00104
FTT_0785 contig1_BASYS00106
FTT_0782 contig1_BASYS00101
FTT_0781c contig1_BASYS00100
FTT_0783 contig1_BASYS00102
FTT_0266 contig1_BASYS00639
FTT_0265 contig1_BASYS00638
FTT_1388 contig6_BASYS00068
FTT_0259 contig1_BASYS00633
FTT_0258 contig1_BASYS00632
FTT_0257 contig1_BASYS00631
FTT_0264c contig1_BASYS00637
FTT_0262 contig1_BASYS00636
FTT_0261 contig1_BASYS00634
FTT_0295 contig1_BASYS00746
FTT_0293a contig1_BASYS00744
FTT_0293 contig1_BASYS00741
FTT_0292 contig1_BASYS00740
FTT_1257 contig1_BASYS00038
FTT_0296 contig1_BASYS00749
FTT_1478c contig2_BASYS00100
FTT_1479c contig2_BASYS00101
FTT_0777 contig2_BASYS00108
FTT_0776c contig2_BASYS00109
FTT_1150c contig2_BASYS00243
FTT_1155c contig2_BASYS00247
FTT_1154c contig2_BASYS00246
FTT_1152 contig2_BASYS00245
FTT_1151c contig2_BASYS00244
FTT_0099 contig6_BASYS00036
FTT_1354 contig6_BASYS00030
FTT_0890c contig1_BASYS00963
FTT_0889c contig1_BASYS00961
FTT_0893 contig1_BASYS00967
FTT_0892 contig1_BASYS00966
FTT_0891 contig1_BASYS00964
FTT_0895 contig1_BASYS00969
FTT_0894 contig1_BASYS00968
